name,full_name,age,club,club_id,league,league_id,height_ft,height_ft_decimal,weight_kg,position,secondary_positions,nationality,preferred_foot,potential,pace,shooting,passing,dribbling,defending,physicality,is_goalkeeper,schema
F. de Jong,Frenkie de Jong,28,FC Barcelona,241,La Liga,53,"5'11""",5.94,74,CM,CDM,Netherlands,Right,87,84,75.6,89.5,88.3,81,88,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Ødegaard,Martin Ødegaard,26,Arsenal,1,Premier League,13,"5'10""",5.84,68,CM,CAM,Norway,Left,89,69,79.8,90.4,88.8,71.5,89,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Mac Allister,Alexis Mac Allister,26,Liverpool,9,Premier League,13,"5'9""",5.77,72,CM,CDM,Argentina,Right,88,65,81.4,88.1,87.4,82.5,88,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
V. Osimhen,Victor Osimhen,26,Galatasaray SK,325,Süper Lig,68,"6'1""",6.1,77,ST,,Nigeria,Right,89,92.1,88,72.6,84.9,89.3,91.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
David Raya,David Raya,29,Arsenal,1,Premier League,13,"6'0""",6,75,GK,,Spain,Right,87,86.7,84.7,87.7,86.7,61.7,85.7,TRUE,DIV|HAN|KIC|REF|SPD|POS
D. Rice,Declan Rice,26,Arsenal,1,Premier League,13,"6'1""",6.07,80,CDM,CM,England,Right,88,73.6,86.3,86.2,85.5,85.8,87,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Guirassy,Serhou Guirassy,29,Borussia Dortmund,22,Bundesliga,19,"6'2""",6.14,82,ST,,Guinea,Right,87,73,90.2,83.6,85.8,88.3,85.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
V. Gyökeres,Viktor Gyökeres,27,Arsenal,1,Premier League,13,"6'2""",6.2,94,ST,,Sweden,Right,88,90.8,87.6,78.6,84.1,81.3,91.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Caicedo,Moisés Caicedo,23,Chelsea,5,Premier League,13,"5'10""",5.84,73,CDM,CM,Ecuador,Right,89,69.3,74.3,84.9,84.5,86.8,85.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Bruno Fernandes,Bruno Fernandes,30,Manchester United,11,Premier League,13,"5'10""",5.87,69,CAM,CM,Portugal,Right,87,68,84.6,91.7,86.1,65,74,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Tah,Jonathan Tah,29,FC Bayern München,21,Bundesliga,19,"6'5""",6.4,94,CB,,Germany,Right,87,70.8,35.5,79,79.3,87.7,89.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Palmer,Cole Palmer,23,Chelsea,5,Premier League,13,"6'1""",6.07,76,CAM,"RM, ST",England,Left,90,76.5,85.7,88.6,88.3,49.5,64.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Alvarez,Julián Alvarez,25,Atlético Madrid,240,La Liga,53,"5'7""",5.58,71,ST,,Argentina,Right,90,86,88.3,83.6,88.3,78.5,72.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Koundé,Jules Koundé,26,FC Barcelona,241,La Liga,53,"5'11""",5.91,75,RB,"CB, RM",France,Right,88,84.8,46,80.8,84.8,86.2,88,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Kvaratskhelia,Khvicha Kvaratskhelia,24,Paris Saint-Germain,73,Ligue 1,16,"6'0""",6,70,LW,"RW, LM",Georgia,Right,90,85.5,84.3,83.4,87.5,58,79.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
I. Konaté,Ibrahima Konaté,26,Liverpool,9,Premier League,13,"6'4""",6.36,95,CB,,France,Right,87,83.1,43.2,80,82,86.6,88.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Nico Williams,Nico Williams,22,Athletic Club,448,La Liga,53,"5'11""",5.94,67,LM,"RM, LW",Spain,Right,89,93.2,79.7,81.3,85.8,43.1,80.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Rúben Dias,Rúben Dias,28,Manchester City,10,Premier League,13,"6'2""",6.14,82,CB,,Portugal,Right,87,62.5,38.4,82,82.1,87.2,88.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Messi,Lionel Messi,38,Inter Miami,112893,Major League Soccer,39,"5'7""",5.54,67,RW,"ST, CAM, RM",Argentina,Left,86,80,86.1,84.4,89.7,20.8,65.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Reijnders,Tijjani Reijnders,26,Manchester City,10,Premier League,13,"6'1""",6.07,73,CM,"CDM, CAM",Netherlands,Right,87,76,84.5,86.2,87.2,81,93,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
W. Pacho,Willian Pacho,23,Paris Saint-Germain,73,Ligue 1,16,"6'2""",6.17,81,CB,,Ecuador,Left,89,83.5,35.6,77.2,78,85.2,88.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Tonali,Sandro Tonali,25,Newcastle United,13,Premier League,13,"5'11""",5.94,79,CDM,CM,Italy,Right,88,78.9,84.3,84.2,84.7,83.1,83.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Bruno Guimarães,Bruno Guimarães,27,Newcastle United,13,Premier League,13,"6'0""",5.97,74,CM,CDM,Brazil,Right,87,67,78.8,88.4,86.7,83,91,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
P. Dybala,Paulo Dybala,31,Roma,52,Serie A,31,"5'10""",5.81,75,CAM,ST,Argentina,Left,86,81.3,85.2,85.9,88.2,43.1,63.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. ter Stegen,Marc-André ter Stegen,33,FC Barcelona,241,La Liga,53,"6'2""",6.14,85,GK,,Germany,Right,86,84.7,84.7,89.7,85.4,47.3,84.7,TRUE,DIV|HAN|KIC|REF|SPD|POS
H. Çalhanoğlu,Hakan Çalhanoğlu,31,Inter,44,Serie A,31,"5'10""",5.84,69,CDM,CM,Türkiye,Right,86,70.4,87,90.6,88,83.5,78.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Olise,Michael Olise,23,FC Bayern München,21,Bundesliga,19,"6'0""",6.04,73,RM,RW,France,Left,88,78.5,83.7,83.4,87,44.4,84.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
G. Kobel,Gregor Kobel,27,Borussia Dortmund,22,Bundesliga,19,"6'5""",6.4,88,GK,,Switzerland,Right,89,87.7,83.7,64.7,86.7,44.7,86.7,TRUE,DIV|HAN|KIC|REF|SPD|POS
T. Alexander-Arnold,Trent Alexander-Arnold,26,Real Madrid,243,La Liga,53,"5'11""",5.91,69,RB,RM,England,Right,87,77.2,64.5,91.5,86,81,90,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Rüdiger,Antonio Rüdiger,32,Real Madrid,243,La Liga,53,"6'3""",6.23,85,CB,,Germany,Right,86,86.9,54.7,84,81.1,84.9,92.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Nuno Mendes,Nuno Mendes,23,Paris Saint-Germain,73,Ligue 1,16,"5'11""",5.91,70,LB,LM,Portugal,Left,89,94.8,63.5,80.8,82.8,80.5,83.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
João Neves,João Neves,20,Paris Saint-Germain,73,Ligue 1,16,"5'9""",5.71,66,CM,CDM,Portugal,Right,90,71.2,72.9,85.6,84.7,83.7,92.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Gravenberch,Ryan Gravenberch,23,Liverpool,9,Premier League,13,"6'3""",6.23,77,CDM,CM,Netherlands,Right,88,76.1,78.4,84.1,85.8,83.3,80.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
G. Xhaka,Granit Xhaka,32,Sunderland,106,Premier League,13,"6'1""",6.1,80,CDM,CM,Switzerland,Left,85,50.2,88.1,89,83.8,78.2,84.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Ederson,Ederson,31,Fenerbahçe SK,326,Süper Lig,68,"6'2""",6.17,86,GK,,Brazil,Left,85,83.1,82.1,91.1,82.7,63.7,83.1,TRUE,DIV|HAN|KIC|REF|SPD|POS
Unai Simón,Unai Simón,28,Athletic Club,448,La Liga,53,"6'3""",6.23,89,GK,,Spain,Right,86,84.1,80.1,76.1,84,49,84.1,TRUE,DIV|HAN|KIC|REF|SPD|POS
P. Schick,Patrik Schick,29,Bayer 04 Leverkusen,32,Bundesliga,19,"6'3""",6.27,87,ST,,Czechia,Left,85,72.3,85.8,78.3,83.4,87.9,85.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. McTominay,Scott McTominay,28,Napoli,48,Serie A,31,"6'4""",6.33,88,CM,"CAM, LM",Scotland,Right,85,80.2,84.8,81.8,85.3,81.2,92.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Dimarco,Federico Dimarco,27,Inter,44,Serie A,31,"5'9""",5.74,76,LB,LM,Italy,Left,85,80.4,79.2,85.9,84.6,79.4,84.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Carvajal,Carvajal,33,Real Madrid,243,La Liga,53,"5'8""",5.68,73,RB,RM,Spain,Right,85,81.4,53.2,85,84.5,82.8,85,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
H. Son,Heung-min Son,32,Los Angeles FC,112996,Major League Soccer,39,"6'0""",6,78,LW,"ST, LM",Korea Republic,Right,85,84.1,84,82.3,84.2,39,77.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Mbeumo,Bryan Mbeumo,25,Manchester United,11,Premier League,13,"5'7""",5.61,75,RW,"RM, ST",Cameroon,Left,86,88.9,84.6,81.8,83.7,53.3,73.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Y. Tielemans,Youri Tielemans,28,Aston Villa,2,Premier League,13,"5'9""",5.77,72,CM,"CDM, CAM",Belgium,Right,85,57.2,76.9,87.5,84.4,76.3,87.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Fabián Ruiz,Fabián Ruiz,29,Paris Saint-Germain,73,Ligue 1,16,"6'2""",6.2,70,CM,CDM,Spain,Left,85,61.2,82,84.3,85.1,79.2,84.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Rodrygo,Rodrygo,24,Real Madrid,243,La Liga,53,"5'9""",5.71,64,RW,"ST, RM",Brazil,Right,90,89,83,81.1,87.4,24.8,62,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Doué,Désiré Doué,20,Paris Saint-Germain,73,Ligue 1,16,"5'11""",5.94,79,RW,"LW, CM, RM",France,Right,91,83.9,80.2,77.7,89.2,52.3,74.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Thuram,Marcus Thuram,27,Inter,44,Serie A,31,"6'4""",6.3,80,ST,,France,Right,85,86.4,84.8,80.3,83.3,84,79.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
P. Foden,Philip Foden,25,Manchester City,10,Premier League,13,"5'7""",5.61,70,RW,"CM, LW, RM",England,Left,88,81.5,82.5,81.7,88.2,60.3,47.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Benzema,Karim Benzema,37,Al Ittihad,607,Pro League,350,"6'1""",6.07,81,ST,CAM,France,Right,85,75.7,86.6,86.6,85.4,86.2,81.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Cristiano Ronaldo,Cristiano Ronaldo,40,Al Nassr,112139,Pro League,350,"6'2""",6.14,85,ST,,Portugal,Right,85,76,88.8,76.3,82.2,86.9,80.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
De Gea,De Gea,34,Fiorentina,110374,Serie A,31,"6'4""",6.3,76,GK,,Spain,Right,85,85.1,78.1,71.1,86.4,46,84.1,TRUE,DIV|HAN|KIC|REF|SPD|POS
L. Díaz,Luis Díaz,28,FC Bayern München,21,Bundesliga,19,"5'11""",5.91,73,LM,"LW, ST",Colombia,Right,85,88.2,83.7,76.5,87.2,52.9,86.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Bremer,Bremer,28,Juventus,45,Serie A,31,"6'2""",6.14,84,CB,,Brazil,Right,86,86.5,56.9,76,74.5,87,86.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Dani Olmo,Dani Olmo,27,FC Barcelona,241,La Liga,53,"5'10""",5.87,72,CAM,"CM, ST",Spain,Right,86,74.1,81.4,85.9,86.8,52.8,55.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Iñigo Martínez,Iñigo Martínez,34,Al Nassr,112139,Pro League,350,"6'0""",5.97,76,CB,,Spain,Left,85,72,53.2,83.2,81.5,85.4,85.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Upamecano,Dayotchanculle Upamecano,26,FC Bayern München,21,Bundesliga,19,"6'1""",6.1,90,CB,,France,Right,88,78,46.7,79.2,80.6,84.1,87.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
P. Gulácsi,Péter Gulácsi,35,RB Leipzig,112172,Bundesliga,19,"6'4""",6.33,86,GK,,Hungary,Right,85,83.1,83.1,74.1,83.4,43,87.1,TRUE,DIV|HAN|KIC|REF|SPD|POS
N. Schlotterbeck,Nico Schlotterbeck,25,Borussia Dortmund,22,Bundesliga,19,"6'3""",6.27,86,CB,,Germany,Left,88,72.5,58.5,78.2,78.3,85.5,85.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Kanté,N'Golo Kanté,34,Al Ittihad,607,Pro League,350,"5'6""",5.51,70,CDM,CM,France,Right,85,75.5,70.5,77.9,82.3,88.4,83.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Martínez,Emiliano Martínez,32,Aston Villa,2,Premier League,13,"6'5""",6.4,88,GK,,Argentina,Right,85,83.1,82.1,82.1,83.7,56,85.1,TRUE,DIV|HAN|KIC|REF|SPD|POS
A. Griezmann,Antoine Griezmann,34,Atlético Madrid,240,La Liga,53,"5'9""",5.77,67,ST,"LM, CAM",France,Left,85,77.9,86.7,86.6,88.5,79.5,70.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Vivian,Vivian,25,Athletic Club,448,La Liga,53,"6'0""",6,83,CB,,Spain,Right,87,80.8,30.4,79.2,80.6,84,85.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
X. Simons,Xavier Simons,22,Tottenham Hotspur,18,Premier League,13,"5'10""",5.87,58,CAM,"LM, ST",Netherlands,Right,87,78.2,79.5,83.9,86.5,62.8,69.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Zaccagni,Mattia Zaccagni,30,Lazio,46,Serie A,31,"5'10""",5.81,63,LM,LW,Italy,Right,84,88.7,79.7,78,86.8,58.4,80.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Pulisic,Christian Pulisic,26,AC Milan,47,Serie A,31,"5'10""",5.84,73,RW,"RM, CAM",United States,Right,84,88.5,84.1,80.6,86.2,50.3,61.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Diaby,Moussa Diaby,25,Al Ittihad,607,Pro League,350,"5'7""",5.58,67,RM,RW,France,Left,85,95.1,79.1,78.9,85.6,44.3,81.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Fernández,Enzo Fernández,24,Chelsea,5,Premier League,13,"5'10""",5.84,76,CM,"CDM, CAM",Argentina,Right,87,68.2,76.4,87.9,84.4,74.8,85.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Marcos Llorente,Marcos Llorente,30,Atlético Madrid,240,La Liga,53,"6'0""",6.04,74,RB,"CM, RM",Spain,Right,84,89.6,76.2,78.3,81.6,77.5,92.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Diogo Costa,Diogo Costa,25,FC Porto,236,Primeira Liga,308,"6'2""",6.14,84,GK,,Portugal,Right,89,83.1,78.1,82.1,85,35.7,83.1,TRUE,DIV|HAN|KIC|REF|SPD|POS
A. Davies,Alphonso Davies,24,FC Bayern München,21,Bundesliga,19,"6'1""",6.07,77,LB,LM,Canada,Left,87,94.1,65.2,84.7,85.8,74.8,79.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Neuer,Manuel Neuer,39,FC Bayern München,21,Bundesliga,19,"6'4""",6.33,93,GK,,Germany,Right,84,81.1,81.1,90.1,81.7,31.7,86.1,TRUE,DIV|HAN|KIC|REF|SPD|POS
M. Carnesecchi,Marco Carnesecchi,25,Atalanta,39,Serie A,31,"6'3""",6.27,83,GK,,Italy,Right,88,86.1,83.1,71.1,81,31,85.1,TRUE,DIV|HAN|KIC|REF|SPD|POS
Sancet,Sancet,25,Athletic Club,448,La Liga,53,"6'2""",6.17,77,CAM,"CM, ST",Spain,Right,88,75.5,84.2,83.6,84.8,70.2,81.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Palacios,Exequiel Palacios,26,Bayer 04 Leverkusen,32,Bundesliga,19,"5'10""",5.84,69,CM,CDM,Argentina,Right,86,53.2,78.3,84.7,84.1,85.2,68.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Milinković-Savić,Sergej Milinković-Savić,30,Al Hilal,605,Pro League,350,"6'4""",6.3,95,CM,"CDM, CAM",Serbia,Right,84,64.2,81.9,84.1,84.5,76.2,92.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Maddison,James Maddison,28,Tottenham Hotspur,18,Premier League,13,"5'9""",5.74,73,CM,CAM,England,Right,84,65.2,82.3,86.5,85,63.4,78.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Rafael Leão,Rafael Leão,26,AC Milan,47,Serie A,31,"6'2""",6.17,81,LW,LM,Portugal,Right,85,93,78.3,82.9,85.7,24.1,77.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Tchouaméni,Aurélien Tchouaméni,25,Real Madrid,243,La Liga,53,"6'2""",6.14,81,CDM,"CM, CB",France,Right,87,70.8,77.3,84.3,81.5,82.3,81.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Éder Militão,Éder Militão,27,Real Madrid,243,La Liga,53,"6'1""",6.1,79,CB,,Brazil,Right,87,82.9,62.7,78.2,78.2,84.7,82.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. De Paul,Rodrigo De Paul,31,Inter Miami,112893,Major League Soccer,39,"5'11""",5.91,70,CM,"CDM, CAM",Argentina,Right,84,76.2,79.7,84.9,83.9,80.2,88.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Bernardo Silva,Bernardo Silva,30,Manchester City,10,Premier League,13,"5'8""",5.68,65,CM,"RM, CDM, CAM",Portugal,Left,84,55.2,79.5,84.7,88,74.8,90.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Grimaldo,Grimaldo,29,Bayer 04 Leverkusen,32,Bundesliga,19,"5'7""",5.61,68,LM,"LB, LW",Spain,Left,84,72.4,73.7,87.5,85.1,66,89.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
João Cancelo,João Cancelo,31,Al Hilal,605,Pro League,350,"6'0""",5.97,74,RB,"LB, RM",Portugal,Right,84,82.2,64.7,86.2,85,77.9,88.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Barcola,Bradley Barcola,22,Paris Saint-Germain,73,Ligue 1,16,"6'2""",6.17,70,LW,"RW, LM",France,Right,88,89.5,80.8,81.3,84.7,39,68.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Pickford,Jordan Pickford,31,Everton,7,Premier League,13,"6'1""",6.07,77,GK,,England,Left,84,84.1,78.1,88.1,85.4,52.3,81.1,TRUE,DIV|HAN|KIC|REF|SPD|POS
T. Hernández,Theo Hernández,27,Al Hilal,605,Pro League,350,"6'0""",6.04,81,LB,LM,France,Left,85,90.5,77.5,82.9,83.7,78.5,87.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
