type,name,country1,country2,country3,country4,country5,country6,country7,country8,country9,country10,country11,country12,country13,country14,country15,country16,country17,country18,country19,country20,country21
first,Algirdas,Lithuania,,,,,,,,,,,,,,,,,,,,
first,Ali,Turkey,,,,,,,,,,,,,,,,,,,,
first,Alibek,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Alin,Moldova,Romania,,,,,,,,,,,,,,,,,,,
first,Alistair,Scotland,,,,,,,,,,,,,,,,,,,,
first,Almas,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Almir,Bosnia,,,,,,,,,,,,,,,,,,,,
first,Alonso,Andorra,Gibraltar,Spain,,,,,,,,,,,,,,,,,,
first,Alper,Turkey,,,,,,,,,,,,,,,,,,,,
first,Alperen,Turkey,,,,,,,,,,,,,,,,,,,,
first,Alvaro,Andorra,Gibraltar,Spain,,,,,,,,,,,,,,,,,,
first,Amar,Bosnia,,,,,,,,,,,,,,,,,,,,
first,Amit,Israel,,,,,,,,,,,,,,,,,,,,
first,Anar,Azerbaijan,,,,,,,,,,,,,,,,,,,,
first,Anastasios,Cyprus,Greece,,,,,,,,,,,,,,,,,,,
first,Anatolie,Moldova,,,,,,,,,,,,,,,,,,,,
first,Anatoly,Belarus,Russia,Ukraine,,,,,,,,,,,,,,,,,,
first,Ander,Andorra,Gibraltar,Spain,,,,,,,,,,,,,,,,,,
first,Anders,Denmark,Sweden,,,,,,,,,,,,,,,,,,,
first,Andras,Hungary,,,,,,,,,,,,,,,,,,,,
first,Andre,Belgium,France,Germany,Malta,Monaco,,,,,,,,,,,,,,,,
first,Andrea,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Andreas,Austria,Cyprus,Denmark,Germany,Liechtenstein,Norway,Sweden,Switzerland,,,,,,,,,,,,,
first,Andrei,Belarus,Moldova,Romania,Russia,,,,,,,,,,,,,,,,,
first,Andrej,Montenegro,Serbia,Slovakia,Slovenia,,,,,,,,,,,,,,,,,
first,Andres,Andorra,Estonia,Gibraltar,Spain,,,,,,,,,,,,,,,,,
first,Andrew,England,Gibraltar,Northern Ireland,Scotland,,,,,,,,,,,,,,,,,
first,Andrias,Faroe Islands,,,,,,,,,,,,,,,,,,,,
first,Andrija,Montenegro,,,,,,,,,,,,,,,,,,,,
first,Andris,Latvia,,,,,,,,,,,,,,,,,,,,
first,Andriy,Ukraine,,,,,,,,,,,,,,,,,,,,
first,Andrzej,Poland,,,,,,,,,,,,,,,,,,,,
first,Anel,Bosnia,,,,,,,,,,,,,,,,,,,,
first,Angel,Andorra,Bulgaria,Gibraltar,North Macedonia,Spain,,,,,,,,,,,,,,,,
first,Angelo,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Angus,Scotland,,,,,,,,,,,,,,,,,,,,
first,Ante,Croatia,,,,,,,,,,,,,,,,,,,,
first,Anthony,Belgium,England,France,Gibraltar,Liechtenstein,Monaco,Switzerland,,,,,,,,,,,,,,
first,Anton,Austria,Belarus,Bulgaria,Czechia,Denmark,Germany,Latvia,Liechtenstein,Lithuania,North Macedonia,Norway,Russia,Sweden,Switzerland,Ukraine,,,,,,
first,Antoni,Poland,,,,,,,,,,,,,,,,,,,,
first,Antonio,Andorra,Gibraltar,Italy,Portugal,San Marino,Spain,,,,,,,,,,,,,,,
first,Antonios,Cyprus,Greece,,,,,,,,,,,,,,,,,,,
first,Antti,Finland,,,,,,,,,,,,,,,,,,,,
first,Apostolos,Cyprus,Greece,,,,,,,,,,,,,,,,,,,
first,Aram,Armenia,,,,,,,,,,,,,,,,,,,,
first,Ararat,Armenia,,,,,,,,,,,,,,,,,,,,
first,Arben,Albania,Kosovo,,,,,,,,,,,,,,,,,,,
first,Arber,Kosovo,,,,,,,,,,,,,,,,,,,,
first,Archie,England,Gibraltar,Scotland,,,,,,,,,,,,,,,,,,
first,Arda,Turkey,,,,,,,,,,,,,,,,,,,,
first,Ardit,Albania,Kosovo,,,,,,,,,,,,,,,,,,,
first,Aristeidis,Cyprus,Greece,,,,,,,,,,,,,,,,,,,
first,Arkadiusz,Poland,,,,,,,,,,,,,,,,,,,,
first,Arman,Armenia,,,,,,,,,,,,,,,,,,,,
first,Armando,Albania,Kosovo,,,,,,,,,,,,,,,,,,,
first,Armen,Armenia,,,,,,,,,,,,,,,,,,,,
first,Armin,Austria,Bosnia,Germany,Liechtenstein,Switzerland,,,,,,,,,,,,,,,,
first,Arnar,Iceland,,,,,,,,,,,,,,,,,,,,
first,Arnas,Lithuania,,,,,,,,,,,,,,,,,,,,
first,Arni,Iceland,,,,,,,,,,,,,,,,,,,,
first,Aron,Iceland,Sweden,,,,,,,,,,,,,,,,,,,
first,Arsen,Russia,,,,,,,,,,,,,,,,,,,,
first,Artak,Armenia,,,,,,,,,,,,,,,,,,,,
first,Artem,Belarus,Russia,Ukraine,,,,,,,,,,,,,,,,,,
first,Arthur,Belgium,England,France,Gibraltar,Luxembourg,Monaco,Wales,,,,,,,,,,,,,,
first,Artis,Latvia,,,,,,,,,,,,,,,,,,,,
first,Arttu,Finland,,,,,,,,,,,,,,,,,,,,
first,Artur,Armenia,Moldova,Poland,,,,,,,,,,,,,,,,,,
first,Artyom,Russia,,,,,,,,,,,,,,,,,,,,
first,Arvid,Sweden,,,,,,,,,,,,,,,,,,,,
first,Arvydas,Lithuania,,,,,,,,,,,,,,,,,,,,
first,Asgeir,Iceland,,,,,,,,,,,,,,,,,,,,
first,Ashley,England,Gibraltar,Wales,,,,,,,,,,,,,,,,,,
first,Ashot,Armenia,,,,,,,,,,,,,,,,,,,,
first,Askar,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Asmir,Bosnia,,,,,,,,,,,,,,,,,,,,
first,Atakan,Turkey,,,,,,,,,,,,,,,,,,,,
first,Athanasios,Cyprus,Greece,,,,,,,,,,,,,,,,,,,
first,Attila,Hungary,Moldova,Romania,,,,,,,,,,,,,,,,,,
first,Aurelien,Luxembourg,,,,,,,,,,,,,,,,,,,,
first,Avi,Israel,,,,,,,,,,,,,,,,,,,,
first,Axel,Denmark,Sweden,,,,,,,,,,,,,,,,,,,
first,Ayberk,Turkey,,,,,,,,,,,,,,,,,,,,
first,Aykut,Turkey,,,,,,,,,,,,,,,,,,,,
first,Azamat,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Bachana,Georgia,,,,,,,,,,,,,,,,,,,,
first,Badri,Georgia,,,,,,,,,,,,,,,,,,,,
first,Baglan,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Bagrat,Armenia,,,,,,,,,,,,,,,,,,,,
first,Bahlul,Azerbaijan,,,,,,,,,,,,,,,,,,,,
first,Balazs,Hungary,,,,,,,,,,,,,,,,,,,,
first,Baldur,Iceland,,,,,,,,,,,,,,,,,,,,
first,Balsa,Montenegro,,,,,,,,,,,,,,,,,,,,
first,Baptiste,Belgium,France,Liechtenstein,Monaco,Switzerland,,,,,,,,,,,,,,,,
first,Barak,Israel,,,,,,,,,,,,,,,,,,,,
first,Baran,Turkey,,,,,,,,,,,,,,,,,,,,
first,Bardh,Kosovo,,,,,,,,,,,,,,,,,,,,
first,Baris,Turkey,,,,,,,,,,,,,,,,,,,,
first,Barnabas,Hungary,,,,,,,,,,,,,,,,,,,,
first,Barry,England,Gibraltar,Republic of Ireland,Wales,,,,,,,,,,,,,,,,,
first,Bart,Netherlands,,,,,,,,,,,,,,,,,,,,
first,Bartal,Faroe Islands,,,,,,,,,,,,,,,,,,,,
first,Bartosz,Poland,,,,,,,,,,,,,,,,,,,,
first,Bas,Netherlands,,,,,,,,,,,,,,,,,,,,
first,Bastian,Germany,,,,,,,,,,,,,,,,,,,,
first,Batuhan,Turkey,,,,,,,,,,,,,,,,,,,,
first,Bauyrzhan,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Beka,Georgia,,,,,,,,,,,,,,,,,,,,
first,Bekim,Albania,Kosovo,,,,,,,,,,,,,,,,,,,
first,Bekzat,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Ben,Belgium,Germany,Israel,Luxembourg,Netherlands,,,,,,,,,,,,,,,,
first,Bence,Hungary,,,,,,,,,,,,,,,,,,,,
first,Benjamin,Belgium,Denmark,England,France,Germany,Gibraltar,Monaco,Norway,Sweden,Wales,,,,,,,,,,,
first,Benoit,Belgium,France,Liechtenstein,Monaco,Switzerland,,,,,,,,,,,,,,,,
first,Bent,Denmark,,,,,,,,,,,,,,,,,,,,
first,Berk,Turkey,,,,,,,,,,,,,,,,,,,,
first,Berkay,Turkey,,,,,,,,,,,,,,,,,,,,
first,Bernardo,Portugal,,,,,,,,,,,,,,,,,,,,
first,Bernd,Austria,Germany,Liechtenstein,,,,,,,,,,,,,,,,,,
first,Besnik,Albania,Kosovo,,,,,,,,,,,,,,,,,,,
first,Billy,England,Gibraltar,Scotland,,,,,,,,,,,,,,,,,,
first,Birger,Norway,Sweden,,,,,,,,,,,,,,,,,,,
first,Birgir,Iceland,,,,,,,,,,,,,,,,,,,,
first,Birkir,Iceland,,,,,,,,,,,,,,,,,,,,
first,Bjarne,Denmark,Norway,,,,,,,,,,,,,,,,,,,
first,Bjarni,Iceland,,,,,,,,,,,,,,,,,,,,
first,Bjorn,Belgium,Denmark,Germany,Iceland,Malta,Netherlands,Norway,Sweden,,,,,,,,,,,,,
first,Blagoja,North Macedonia,,,,,,,,,,,,,,,,,,,,
first,Blake,England,Gibraltar,,,,,,,,,,,,,,,,,,,
first,Blaz,Slovenia,,,,,,,,,,,,,,,,,,,,
first,Blazo,Montenegro,,,,,,,,,,,,,,,,,,,,
first,Blerim,Albania,Kosovo,,,,,,,,,,,,,,,,,,,
first,Bo,Denmark,Sweden,,,,,,,,,,,,,,,,,,,
first,Boban,North Macedonia,,,,,,,,,,,,,,,,,,,,
first,Bobby,England,Gibraltar,Scotland,,,,,,,,,,,,,,,,,,
first,Bogdan,Belarus,Moldova,Poland,Romania,Ukraine,,,,,,,,,,,,,,,,
first,Bohdan,Ukraine,,,,,,,,,,,,,,,,,,,,
first,Bojan,Montenegro,North Macedonia,Serbia,Slovenia,,,,,,,,,,,,,,,,,
first,Borce,North Macedonia,,,,,,,,,,,,,,,,,,,,
first,Boris,Belarus,Bulgaria,Croatia,Latvia,Montenegro,North Macedonia,Russia,Serbia,,,,,,,,,,,,,
first,Borna,Croatia,,,,,,,,,,,,,,,,,,,,
first,Bostjan,Slovenia,,,,,,,,,,,,,,,,,,,,
first,Boyan,Bulgaria,North Macedonia,,,,,,,,,,,,,,,,,,,
first,Bozhidar,Bulgaria,North Macedonia,,,,,,,,,,,,,,,,,,,
first,Bozidar,Montenegro,,,,,,,,,,,,,,,,,,,,
first,Bradley,England,Gibraltar,Northern Ireland,,,,,,,,,,,,,,,,,,
first,Bram,Netherlands,,,,,,,,,,,,,,,,,,,,
first,Brandon,England,Gibraltar,Malta,,,,,,,,,,,,,,,,,,
first,Brandur,Faroe Islands,,,,,,,,,,,,,,,,,,,,
first,Branislav,Montenegro,Serbia,,,,,,,,,,,,,,,,,,,
first,Brendan,Republic of Ireland,,,,,,,,,,,,,,,,,,,,
first,Brian,England,Gibraltar,Northern Ireland,Scotland,,,,,,,,,,,,,,,,,
first,Bruce,Scotland,,,,,,,,,,,,,,,,,,,,
first,Bruno,Andorra,Austria,Croatia,Germany,Gibraltar,Liechtenstein,Portugal,Spain,Switzerland,,,,,,,,,,,,
first,Bryn,Wales,,,,,,,,,,,,,,,,,,,,
first,Bugra,Turkey,,,,,,,,,,,,,,,,,,,,
first,Burak,Turkey,,,,,,,,,,,,,,,,,,,,
first,Caglar,Turkey,,,,,,,,,,,,,,,,,,,,
first,Cain,Malta,,,,,,,,,,,,,,,,,,,,
first,Caleb,England,Gibraltar,,,,,,,,,,,,,,,,,,,
first,Callum,Scotland,,,,,,,,,,,,,,,,,,,,
first,Cameron,England,Gibraltar,Scotland,,,,,,,,,,,,,,,,,,
first,Can,Turkey,,,,,,,,,,,,,,,,,,,,
first,Carl,England,Gibraltar,Sweden,,,,,,,,,,,,,,,,,,
first,Carlos,Andorra,Gibraltar,Portugal,Spain,,,,,,,,,,,,,,,,,
first,Carmine,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Carwyn,Wales,,,,,,,,,,,,,,,,,,,,
first,Cas,Netherlands,,,,,,,,,,,,,,,,,,,,
first,Casper,Denmark,,,,,,,,,,,,,,,,,,,,
first,Catalin,Moldova,Romania,,,,,,,,,,,,,,,,,,,
first,Cathal,Republic of Ireland,,,,,,,,,,,,,,,,,,,,
first,Cedric,Belgium,England,France,Gibraltar,Liechtenstein,Monaco,Switzerland,,,,,,,,,,,,,,
first,Cenk,Turkey,,,,,,,,,,,,,,,,,,,,
first,Cerys,Wales,,,,,,,,,,,,,,,,,,,,
first,Cesar,Andorra,Gibraltar,Spain,,,,,,,,,,,,,,,,,,
first,Ceyhun,Azerbaijan,,,,,,,,,,,,,,,,,,,,
first,Cezary,Poland,,,,,,,,,,,,,,,,,,,,
first,Charalambos,Cyprus,,,,,,,,,,,,,,,,,,,,
first,Charalampos,Cyprus,Greece,,,,,,,,,,,,,,,,,,,
first,Charel,Luxembourg,,,,,,,,,,,,,,,,,,,,
first,Charles,Belgium,France,Luxembourg,Monaco,,,,,,,,,,,,,,,,,
first,Charlie,England,Gibraltar,,,,,,,,,,,,,,,,,,,
first,Chen,Israel,,,,,,,,,,,,,,,,,,,,
first,Chingiz,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Chris,Northern Ireland,,,,,,,,,,,,,,,,,,,,
first,Christakis,Cyprus,,,,,,,,,,,,,,,,,,,,
first,Christian,Austria,Denmark,England,Germany,Gibraltar,Liechtenstein,Norway,Switzerland,,,,,,,,,,,,,
first,Christoffer,Denmark,Sweden,,,,,,,,,,,,,,,,,,,
first,Christoph,Austria,Germany,Liechtenstein,Switzerland,,,,,,,,,,,,,,,,,
first,Christophe,Luxembourg,,,,,,,,,,,,,,,,,,,,
first,Christos,Cyprus,Greece,,,,,,,,,,,,,,,,,,,
first,Cian,Republic of Ireland,,,,,,,,,,,,,,,,,,,,
first,Ciaran,Northern Ireland,Republic of Ireland,,,,,,,,,,,,,,,,,,,
first,Ciaron,Northern Ireland,,,,,,,,,,,,,,,,,,,,
first,Cihan,Turkey,,,,,,,,,,,,,,,,,,,,
first,Ciprian,Moldova,Romania,,,,,,,,,,,,,,,,,,,
first,Claudio,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Claudiu,Moldova,Romania,,,,,,,,,,,,,,,,,,,
first,Clayton,Malta,,,,,,,,,,,,,,,,,,,,
first,Clement,Belgium,France,Liechtenstein,Monaco,Switzerland,,,,,,,,,,,,,,,,
first,Clive,England,Gibraltar,,,,,,,,,,,,,,,,,,,
first,Clyde,Scotland,,,,,,,,,,,,,,,,,,,,
first,Colin,England,Gibraltar,Scotland,,,,,,,,,,,,,,,,,,
first,Colm,Northern Ireland,Republic of Ireland,,,,,,,,,,,,,,,,,,,
first,Connor,England,Gibraltar,Northern Ireland,Scotland,,,,,,,,,,,,,,,,,
first,Conor,Northern Ireland,Republic of Ireland,,,,,,,,,,,,,,,,,,,
first,Constantin,Moldova,,,,,,,,,,,,,,,,,,,,
first,Cormac,Republic of Ireland,,,,,,,,,,,,,,,,,,,,
first,Corneliu,Moldova,,,,,,,,,,,,,,,,,,,,
first,Corry,Northern Ireland,,,,,,,,,,,,,,,,,,,,
first,Cosmin,Moldova,Romania,,,,,,,,,,,,,,,,,,,
first,Craig,England,Gibraltar,Northern Ireland,Scotland,Wales,,,,,,,,,,,,,,,,
first,Cristian,Andorra,Gibraltar,Italy,Moldova,Romania,San Marino,Spain,,,,,,,,,,,,,,
first,Cristiano,Portugal,,,,,,,,,,,,,,,,,,,,
first,Csaba,Hungary,,,,,,,,,,,,,,,,,,,,
first,Cyril,Bulgaria,North Macedonia,,,,,,,,,,,,,,,,,,,
first,Daan,Netherlands,,,,,,,,,,,,,,,,,,,,
first,Dafydd,Wales,,,,,,,,,,,,,,,,,,,,
first,Dainis,Latvia,,,,,,,,,,,,,,,,,,,,
first,Daithi,Republic of Ireland,,,,,,,,,,,,,,,,,,,,
first,Dale,England,Gibraltar,,,,,,,,,,,,,,,,,,,
first,Damian,England,Gibraltar,Poland,,,,,,,,,,,,,,,,,,
first,Damien,Belgium,France,Liechtenstein,Monaco,Switzerland,,,,,,,,,,,,,,,,
first,Damir,Bosnia,Croatia,Kazakhstan,,,,,,,,,,,,,,,,,,
first,Danel,Luxembourg,,,,,,,,,,,,,,,,,,,,
first,Daniel,Andorra,Austria,Czechia,Denmark,England,Germany,Gibraltar,Hungary,Israel,Liechtenstein,Moldova,Northern Ireland,Norway,Poland,Portugal,Romania,Scotland,Spain,Sweden,Switzerland,Wales
first,Daniele,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Daniil,Russia,,,,,,,,,,,,,,,,,,,,
first,Danilo,Montenegro,,,,,,,,,,,,,,,,,,,,
first,Daniyar,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Dara,Republic of Ireland,,,,,,,,,,,,,,,,,,,,
first,Dario,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Darius,Lithuania,,,,,,,,,,,,,,,,,,,,
first,Dariusz,Poland,,,,,,,,,,,,,,,,,,,,
first,Darko,Montenegro,North Macedonia,Serbia,,,,,,,,,,,,,,,,,,
first,Darragh,Republic of Ireland,,,,,,,,,,,,,,,,,,,,
first,Darren,England,Gibraltar,Wales,,,,,,,,,,,,,,,,,,
first,Dashgin,Azerbaijan,,,,,,,,,,,,,,,,,,,,
first,David,Andorra,Belgium,Czechia,Denmark,England,France,Germany,Gibraltar,Hungary,Monaco,Norway,Portugal,Scotland,Spain,Sweden,Wales,,,,,
first,Davide,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Davit,Georgia,,,,,,,,,,,,,,,,,,,,
first,Dawid,Poland,,,,,,,,,,,,,,,,,,,,
first,Dean,England,Gibraltar,Malta,,,,,,,,,,,,,,,,,,
first,Declan,Northern Ireland,Republic of Ireland,,,,,,,,,,,,,,,,,,,
first,Deiniol,Wales,,,,,,,,,,,,,,,,,,,,
first,Deividas,Lithuania,,,,,,,,,,,,,,,,,,,,
first,Dejan,Montenegro,North Macedonia,Serbia,,,,,,,,,,,,,,,,,,
first,Denis,Belarus,Moldova,Romania,Russia,Slovenia,Ukraine,,,,,,,,,,,,,,,
first,Denislav,Bulgaria,North Macedonia,,,,,,,,,,,,,,,,,,,
first,Deniz,Turkey,,,,,,,,,,,,,,,,,,,,
first,Denni,Malta,,,,,,,,,,,,,,,,,,,,
first,Dennis,England,Germany,Gibraltar,Netherlands,Sweden,,,,,,,,,,,,,,,,
first,Derek,England,Gibraltar,Scotland,,,,,,,,,,,,,,,,,,
first,Diarmuid,Republic of Ireland,,,,,,,,,,,,,,,,,,,,
first,Dias,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Diego,Andorra,Gibraltar,Spain,,,,,,,,,,,,,,,,,,
first,Dieter,Austria,Germany,Liechtenstein,,,,,,,,,,,,,,,,,,
first,Dimitar,Bulgaria,North Macedonia,,,,,,,,,,,,,,,,,,,
first,Dimitrios,Cyprus,Greece,,,,,,,,,,,,,,,,,,,
first,Dino,Bosnia,,,,,,,,,,,,,,,,,,,,
first,Diogo,Portugal,,,,,,,,,,,,,,,,,,,,
first,Dion,Northern Ireland,,,,,,,,,,,,,,,,,,,,
first,Dirk,Netherlands,,,,,,,,,,,,,,,,,,,,
first,Dmitri,Belarus,,,,,,,,,,,,,,,,,,,,
first,Dmitriy,Russia,,,,,,,,,,,,,,,,,,,,
first,Dmitry,Belarus,Russia,,,,,,,,,,,,,,,,,,,
first,Dmytro,Ukraine,,,,,,,,,,,,,,,,,,,,
first,Domagoj,Croatia,,,,,,,,,,,,,,,,,,,,
first,Domantas,Lithuania,,,,,,,,,,,,,,,,,,,,
first,Domen,Slovenia,,,,,,,,,,,,,,,,,,,,
first,Domenico,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Domingos,Portugal,,,,,,,,,,,,,,,,,,,,
first,Dominic,England,Gibraltar,,,,,,,,,,,,,,,,,,,
first,Dominik,Austria,Czechia,Germany,Hungary,Liechtenstein,Poland,Slovakia,Switzerland,,,,,,,,,,,,,
first,Dominique,Belgium,France,Liechtenstein,Monaco,Switzerland,,,,,,,,,,,,,,,,
first,Donal,Republic of Ireland,,,,,,,,,,,,,,,,,,,,
first,Donald,Scotland,,,,,,,,,,,,,,,,,,,,
first,Donatas,Lithuania,,,,,,,,,,,,,,,,,,,,
first,Dor,Israel,,,,,,,,,,,,,,,,,,,,
first,Dorde,Montenegro,Serbia,,,,,,,,,,,,,,,,,,,
first,Douglas,Scotland,,,,,,,,,,,,,,,,,,,,
first,Dragan,Croatia,Montenegro,Serbia,,,,,,,,,,,,,,,,,,
first,Dragoljub,Montenegro,,,,,,,,,,,,,,,,,,,,
first,Dragomir,Bulgaria,North Macedonia,,,,,,,,,,,,,,,,,,,
first,Dragos,Moldova,Romania,,,,,,,,,,,,,,,,,,,
first,Dragoslav,Montenegro,Serbia,,,,,,,,,,,,,,,,,,,
first,Dritan,Albania,Kosovo,,,,,,,,,,,,,,,,,,,
first,Driton,Kosovo,,,,,,,,,,,,,,,,,,,,
first,Duarte,Portugal,,,,,,,,,,,,,,,,,,,,
first,Duje,Croatia,,,,,,,,,,,,,,,,,,,,
first,Dumitru,Moldova,,,,,,,,,,,,,,,,,,,,
first,Duncan,Malta,,,,,,,,,,,,,,,,,,,,
first,Dusan,Montenegro,Serbia,Slovakia,,,,,,,,,,,,,,,,,,
first,Dylan,England,Gibraltar,Luxembourg,Wales,,,,,,,,,,,,,,,,,
first,Eamon,Republic of Ireland,,,,,,,,,,,,,,,,,,,,
first,Edgar,Armenia,England,France,Germany,Gibraltar,Monaco,,,,,,,,,,,,,,,
first,Edgars,Latvia,,,,,,,,,,,,,,,,,,,,
first,Edin,Bosnia,,,,,,,,,,,,,,,,,,,,
first,Edoardo,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Eduard,Armenia,Belarus,Latvia,Russia,,,,,,,,,,,,,,,,,
first,Eduardo,Andorra,Gibraltar,Portugal,Spain,,,,,,,,,,,,,,,,,
first,Edward,England,Gibraltar,Malta,,,,,,,,,,,,,,,,,,
first,Edwin,England,Gibraltar,,,,,,,,,,,,,,,,,,,
first,Eero,Finland,,,,,,,,,,,,,,,,,,,,
first,Eetu,Finland,,,,,,,,,,,,,,,,,,,,
first,Egidijus,Lithuania,,,,,,,,,,,,,,,,,,,,
first,Egil,Faroe Islands,,,,,,,,,,,,,,,,,,,,
first,Egill,Iceland,,,,,,,,,,,,,,,,,,,,
first,Egor,Russia,,,,,,,,,,,,,,,,,,,,
first,Ehud,Israel,,,,,,,,,,,,,,,,,,,,
first,Eifion,Wales,,,,,,,,,,,,,,,,,,,,
first,Einar,Iceland,,,,,,,,,,,,,,,,,,,,
first,Einars,Latvia,,,,,,,,,,,,,,,,,,,,
first,Eldin,Bosnia,,,,,,,,,,,,,,,,,,,,
first,Elguja,Georgia,,,,,,,,,,,,,,,,,,,,
first,Eli,Israel,,,,,,,,,,,,,,,,,,,,
first,Elias,Austria,Finland,Germany,Liechtenstein,Norway,Sweden,Switzerland,,,,,,,,,,,,,,
first,Elliot,England,Gibraltar,,,,,,,,,,,,,,,,,,,
first,Ellis,England,Gibraltar,Wales,,,,,,,,,,,,,,,,,,
first,Elmar,Azerbaijan,,,,,,,,,,,,,,,,,,,,
first,Elnur,Azerbaijan,,,,,,,,,,,,,,,,,,,,
first,Elton,Albania,Kosovo,,,,,,,,,,,,,,,,,,,
first,Eltun,Azerbaijan,,,,,,,,,,,,,,,,,,,,
first,Elvar,Iceland,,,,,,,,,,,,,,,,,,,,
